LOAD DATASET
read csv...ready [31.107 sec] !
Xy convertion...
ready [0.519 sec] !
SPLIT DATASET
ready [2.131 sec]!
train: 64340, 64340, Counter({3: 19180, 1: 17014, 2: 15099, 0: 13047})
eval: 16086, 16086, Counter({3: 4795, 1: 4254, 2: 3775, 0: 3262})
START TRAINING
127:	learn: 0.9007460	test: 0.8483775	best: 0.8483775 (127)	total: 2.32s	remaining: 15.8s
128:	learn: 0.9018185	test: 0.8488126	best: 0.8488126 (128)	total: 2.34s	remaining: 15.8s
129:	learn: 0.9026733	test: 0.8488126	best: 0.8488126 (128)	total: 2.36s	remaining: 15.8s
130:	learn: 0.9031707	test: 0.8481910	best: 0.8488126 (128)	total: 2.38s	remaining: 15.8s
131:	learn: 0.9031862	test: 0.8486883	best: 0.8488126 (128)	total: 2.39s	remaining: 15.7s
132:	learn: 0.9033882	test: 0.8490613	best: 0.8490613 (132)	total: 2.41s	remaining: 15.7s
133:	learn: 0.9039012	test: 0.8488126	best: 0.8490613 (132)	total: 2.42s	remaining: 15.7s
134:	learn: 0.9044296	test: 0.8497451	best: 0.8497451 (134)	total: 2.44s	remaining: 15.7s
135:	learn: 0.9052223	test: 0.8491235	best: 0.8497451 (134)	total: 2.46s	remaining: 15.6s
136:	learn: 0.9056574	test: 0.8493100	best: 0.8497451 (134)	total: 2.48s	remaining: 15.6s
137:	learn: 0.9056264	test: 0.8498695	best: 0.8498695 (137)	total: 2.49s	remaining: 15.6s
138:	learn: 0.9056108	test: 0.8498073	best: 0.8498695 (137)	total: 2.51s	remaining: 15.5s
139:	learn: 0.9063258	test: 0.8508641	best: 0.8508641 (139)	total: 2.53s	remaining: 15.5s
140:	learn: 0.9065900	test: 0.8509884	best: 0.8509884 (140)	total: 2.54s	remaining: 15.5s
141:	learn: 0.9071806	test: 0.8508019	best: 0.8509884 (140)	total: 2.56s	remaining: 15.5s
142:	learn: 0.9072272	test: 0.8513614	best: 0.8513614 (142)	total: 2.58s	remaining: 15.4s
143:	learn: 0.9077712	test: 0.8512993	best: 0.8513614 (142)	total: 2.59s	remaining: 15.4s
144:	learn: 0.9087348	test: 0.8505533	best: 0.8513614 (142)	total: 2.61s	remaining: 15.4s
145:	learn: 0.9092011	test: 0.8514858	best: 0.8514858 (145)	total: 2.63s	remaining: 15.4s
146:	learn: 0.9094653	test: 0.8514858	best: 0.8514858 (145)	total: 2.65s	remaining: 15.4s
147:	learn: 0.9095120	test: 0.8518588	best: 0.8518588 (147)	total: 2.67s	remaining: 15.4s
148:	learn: 0.9098228	test: 0.8516101	best: 0.8518588 (147)	total: 2.68s	remaining: 15.3s
149:	learn: 0.9104756	test: 0.8514858	best: 0.8518588 (147)	total: 2.7s	remaining: 15.3s
150:	learn: 0.9108020	test: 0.8521074	best: 0.8521074 (150)	total: 2.72s	remaining: 15.3s
151:	learn: 0.9107243	test: 0.8513614	best: 0.8521074 (150)	total: 2.73s	remaining: 15.3s
152:	learn: 0.9109108	test: 0.8518588	best: 0.8521074 (150)	total: 2.75s	remaining: 15.2s
153:	learn: 0.9112527	test: 0.8516723	best: 0.8521074 (150)	total: 2.77s	remaining: 15.2s
154:	learn: 0.9114548	test: 0.8524804	best: 0.8524804 (154)	total: 2.78s	remaining: 15.2s
155:	learn: 0.9118589	test: 0.8519831	best: 0.8524804 (154)	total: 2.8s	remaining: 15.1s
156:	learn: 0.9119832	test: 0.8525426	best: 0.8525426 (156)	total: 2.81s	remaining: 15.1s
157:	learn: 0.9124029	test: 0.8519831	best: 0.8525426 (156)	total: 2.83s	remaining: 15.1s
158:	learn: 0.9128070	test: 0.8518588	best: 0.8525426 (156)	total: 2.85s	remaining: 15.1s
159:	learn: 0.9132888	test: 0.8521696	best: 0.8525426 (156)	total: 2.87s	remaining: 15.1s
160:	learn: 0.9138638	test: 0.8516723	best: 0.8525426 (156)	total: 2.88s	remaining: 15s
161:	learn: 0.9143923	test: 0.8526047	best: 0.8526047 (161)	total: 2.9s	remaining: 15s
